Name,Proto,Port,Group,Timeout,Flag,ICMPType,ICMPCode
ANY,0,0/65535,other,default,Pre-defined,,
AOL,6,5190/5194,remote,30,Pre-defined,,
APPLE-ICHAT-SNATMAP,17,5678,other,1,Pre-defined,,
BGP,6,179,other,30,Pre-defined,,
CHARGEN,17,19,other,1,Pre-defined,,
DHCP-Relay,17,67,info seeking,1,Pre-defined,,
DHCP,17,68,other,1,Pre-defined,,
DHCP,17,69,other,1,Pre-defined,,
DISCARD,17,9,other,1,Pre-defined,,
DNS,17,53,info seeking,1,Pre-defined,,
ECHO,17,7,other,1,Pre-defined,,
FINGER,6,79,info seeking,30,Pre-defined,,
FTP,6,21,remote,30,Pre-defined,,
FTP-Get,6,21,remote,30,Pre-defined,,
FTP-Put,6,21,remote,30,Pre-defined,,
GNUTELLA,17,6346/6347,remote,1,Pre-defined,,
GOPHER,6,70,info seeking,30,Pre-defined,,
GRE,47,0/65535,remote,60,Pre-defined,,
GTP,6,3386,remote,30,Pre-defined,,
H.323,6,1720,remote,30,Pre-defined,,
HTTP,6,80,info seeking,5,Pre-defined,,
HTTP-EXT,6,8000/8001,info seeking,5,Pre-defined,,
HTTPS,6,443,security,30,Pre-defined,,
ICMP Address Mask,1,0/65535,other,1,Pre-defined,17,0
ICMP-ADDRESS-MASK,1,0/65535,other,1,Pre-defined,17,0
ICMP-ADDRESS-MASK,1,0/65535,other,1,Pre-defined,18,0
ICMP Dest Unreachable,1,0/65535,other,1,Pre-defined,3,0
ICMP-DEST-UNREACH,1,0/65535,other,1,Pre-defined,3,0
ICMP-ECHO-FRAGMENT-ASSEMBLY-EXPIRE,1,0/65535,other,1,Pre-defined,11,1
ICMP Fragment Needed,1,0/65535,other,1,Pre-defined,3,4
ICMP Fragment Reassembly,1,0/65535,other,1,Pre-defined,11,1
ICMP Host Unreachable,1,0/65535,other,1,Pre-defined,3,1
ICMP-HOST-UNREACH,1,0/65535,other,1,Pre-defined,3,1
ICMP Parameter Problem,1,0/65535,other,1,Pre-defined,12,0
ICMP-PARAMETER-PROBLEM,1,0/65535,other,1,Pre-defined,12,0
ICMP Port Unreachable,1,0/65535,other,1,Pre-defined,3,3
ICMP-PORT-UNREACH,1,0/65535,other,1,Pre-defined,3,3
ICMP Protocol Unreach,1,0/65535,other,1,Pre-defined,3,2
ICMP-PROTOCOL-UNREACH,1,0/65535,other,1,Pre-defined,3,2
ICMP Redirect,1,0/65535,other,1,Pre-defined,5,0
